name,nameEn,levels,category,districts,schoolIds,curriculumV2,instructionLanguages,tuitionMin,tuitionMax
"博士山(香港)國際幼稚園-火炭","BOX HILL (HK) INTERNATIONAL KINDERGARTEN-FO TAN","幼稚園","國際","沙田區","edb_581739000212;edb_581739000211;edb_581739000112;edb_581739000111","","",77000,79200
"白普理小學","BRADBURY SCHOOL","小學","國際","灣仔區","edb_170747000123","BRITISH","ENGLISH",139000,139000
"加拿大國際學校","CANADIAN INTERNATIONAL SCHOOL","幼稚園;小學;中學","國際","南區","edb_216011000512;edb_216011000511;edb_216011000611;edb_216011000612;edb_216011000523;edb_216011000533","CANADIAN","ENGLISH",156300,254300
"CARMEL SCHOOL","CARMEL SCHOOL","幼稚園;小學;中學","國際","東區","edb_216186000211;edb_216186000423;edb_216186000323;edb_216186000433","OTHER_INTL","ENGLISH;CANTONESE",80500,226090
"銅鑼灣維多利亞國際幼稚園","CAUSEWAY BAY VICTORIA INTERNATIONAL KINDERGARTEN","幼稚園","國際","灣仔區","edb_325651000113;edb_325651000112;edb_325651000111","","",125430,137973
"新加坡卓薈國際幼稚園(界限街)","CHATSWORTH INTERNATIONAL KINDERGARTEN (BOUNDARY STREET)","幼稚園","國際","九龍城區","edb_599182000111;edb_599182000112;edb_599182000113","","",0,0
"漢基國際學校","CHINESE INTERNATIONAL SCHOOL","幼稚園;小學;中學","國際","東區","edb_215589000112;edb_215589000111;edb_215589000123;edb_215589000133","IB","ENGLISH;PUTONGHUA",316800,373000
"宣道國際學校","CHRISTIAN ALLIANCE INTERNATIONAL SCHOOL","小學;中學","國際","深水埗區","edb_605557000123;edb_605557000133","IB","ENGLISH",141500,237000
"宣道會劉平齋紀念國際學校","CHRISTIAN ALLIANCE P.C. LAU MEMORIAL INTERNATIONAL SCHOOL","小學","國際","九龍城區","edb_216127000123","OTHER_INTL","ENGLISH",0,0
"CLEARWATER BAY SCHOOL","CLEARWATER BAY SCHOOL","小學","國際","西貢區","edb_171034000123;edb_171034000223","BRITISH","ENGLISH",139000,139000
"協同國際學校","CONCORDIA INTERNATIONAL SCHOOL","中學","國際","深水埗區","edb_215996000133","AMERICAN","ENGLISH",129500,150950
"香港道爾頓學校","DALTON SCHOOL HONG KONG","小學;中學","國際","灣仔區","edb_607371000223;edb_607371000233","AMERICAN","ENGLISH",0,0
"德寶國際幼兒學校（寶盈花園）","DEBORAH INTERNATIONAL PRE-SCHOOL (BAUHINIA GARDEN)","幼稚園","國際","西貢區","edb_567116000112;edb_567116000113;edb_567116000111","","",0,0
"德寶國際幼兒學校（將軍澳）","DEBORAH INTERNATIONAL PRE-SCHOOL (TSEUNG KWAN O)","幼稚園","國際","西貢區","edb_567108000112;edb_567108000113;edb_567108000111","","",0,0
"DISCOVERY BAY INTERNATIONAL SCHOOL","DISCOVERY BAY INTERNATIONAL SCHOOL","幼稚園;小學;中學","國際","離島區","edb_230987000113;edb_230987000112;edb_230987000111;edb_230987000123;edb_230987000233;edb_230987000133","BRITISH","ENGLISH",143700,196900
"智新書院","DISCOVERY COLLEGE","小學;中學","國際","離島區","edb_569747000223;edb_569747000233","IB","ENGLISH",147200,191800
"DISCOVERY MONTESSORI ACADEMY","DISCOVERY MONTESSORI ACADEMY","幼稚園;小學","國際","離島區","edb_600814000111;edb_600814000112;edb_600814000113;edb_600814000123","OTHER_INTL","ENGLISH",0,0
"香港國際蒙特梭利學校","DISCOVERY MONTESSORI SCHOOL","幼稚園","國際","離島區","edb_584606000113;edb_584606000112;edb_584606000111","","",0,0
"香港國際蒙特梭利學校(中環)","DISCOVERY MONTESSORI SCHOOL (CENTRAL)","幼稚園","國際","中西區","edb_588032000111;edb_588032000112;edb_588032000113","","",0,0
"德思齊加拿大國際學校","DSC INTERNATIONAL SCHOOL","小學;中學","國際","東區","edb_215791000123;edb_215791000133","IB","ENGLISH",147100,168100
"艾蒙特國際幼稚園","EIS INTERNATIONAL PRE-SCHOOL","幼稚園","國際","元朗區","edb_615633000113;edb_615633000111;edb_615633000112","","",0,0
"英基雅柏國際幼稚園","ESF ABACUS INTERNATIONAL KINDERGARTEN","幼稚園","國際","西貢區","edb_549240000112;edb_549240000111","","",103000,119700
"伽利利國際幼稚園","GALILEE INTERNATIONAL KINDERGARTEN","幼稚園","國際","九龍城區","edb_597031000112;edb_597031000111","","",0,0
"德瑞國際學校","GERMAN SWISS INTERNATIONAL SCHOOL","幼稚園;小學;中學","國際","南區","edb_214558000211;edb_214558000221;edb_214558000123;edb_214558000121;edb_214558000133","IB","ENGLISH;GERMAN",203700,203700
"己連拿小學","GLENEALY SCHOOL","小學","國際","中西區","edb_170887000123","BRITISH","ENGLISH",139000,139000
"雅惠國際幼稚園（鯉景灣）","GRACE GARDEN INTERNATIONAL KINDERGARTEN (LEI KING WAN)","幼稚園","國際","東區","edb_604585000112;edb_604585000111","","",0,0
"綠茵英文（國際）幼稚園（日出康城）","GREENFIELD ENGLISH (INTERNATIONAL) KINDERGARTEN (LOHAS PARK)","幼稚園","國際","西貢區","edb_604372000112;edb_604372000111","","",0,0
"綠茵英文（國際）幼稚園（將軍澳）","GREENFIELD ENGLISH (INTERNATIONAL) KINDERGARTEN (TSEUNG KWAN O)","幼稚園","國際","西貢區","edb_523984000212;edb_523984000211;edb_523984000213","","",0,0
"GUIDEPOST MONTESSORI INTERNATIONAL KINDERGARTEN (CHAI WAN)","GUIDEPOST MONTESSORI INTERNATIONAL KINDERGARTEN (CHAI WAN)","幼稚園","國際","東區","edb_609285000111;edb_609285000112","","",0,0
"GUIDEPOST MONTESSORI INTERNATIONAL KINDERGARTEN (CLEARWATER BAY)","GUIDEPOST MONTESSORI INTERNATIONAL KINDERGARTEN (CLEARWATER BAY)","幼稚園","國際","西貢區","edb_583774000111;edb_583774000112","","",0,0
"GUIDEPOST MONTESSORI INTERNATIONAL KINDERGARTEN (DISCOVERY BAY)","GUIDEPOST MONTESSORI INTERNATIONAL KINDERGARTEN (DISCOVERY BAY)","幼稚園","國際","離島區","edb_609625000112;edb_609625000111","","",0,0
