officialId,officialNameZh,officialNameEn,schoolType,level,district,financeType,website
325368000112,天主教聖瑪加利大幼稚園,ST. MARGARET MARY'S CATHOLIC KINDERGARTEN,幼稚園,KINDERGARTEN,WAN CHAI,PRIVATE,http://www.stmkg.edu.hk
540560000112,青衣商會天水圍幼稚園,TSING YI TRADE ASSOCIATION TIN SHUI WAI KINDERGARTEN,幼稚園,KINDERGARTEN,YUEN LONG,PRIVATE,http://tytatswk.edu.hk
526665000113,聖公會荊冕堂葵涌幼稚園,S.K.H. CROWN OF THORNS CHURCH KWAI CHUNG KINDERGARTEN,幼稚園,KINDERGARTEN,KWAI TSING,PRIVATE,http://skhcotkg.edu.hk/kc
526665000111,聖公會荊冕堂葵涌幼稚園,S.K.H. CROWN OF THORNS CHURCH KWAI CHUNG KINDERGARTEN,幼稚園,KINDERGARTEN,KWAI TSING,PRIVATE,http://skhcotkg.edu.hk/kc
526665000112,聖公會荊冕堂葵涌幼稚園,S.K.H. CROWN OF THORNS CHURCH KWAI CHUNG KINDERGARTEN,幼稚園,KINDERGARTEN,KWAI TSING,PRIVATE,http://skhcotkg.edu.hk/kc
325198000111,救世軍陳昆棟幼稚園,THE SALVATION ARMY CHAN KWAN TUNG KINDERGARTEN,幼稚園,KINDERGARTEN,YAU TSIM MONG,PRIVATE,http://www.salvationarmy.org.hk/esd/cktkg
541230000113,中華基督教青年會幼稚園,CHINESE Y.M.C.A. KINDERGARTEN,幼稚園,KINDERGARTEN,YUEN LONG,PRIVATE,http://www.ymca.org.hk
541230000112,中華基督教青年會幼稚園,CHINESE Y.M.C.A. KINDERGARTEN,幼稚園,KINDERGARTEN,YUEN LONG,PRIVATE,http://www.ymca.org.hk
541230000111,中華基督教青年會幼稚園,CHINESE Y.M.C.A. KINDERGARTEN,幼稚園,KINDERGARTEN,YUEN LONG,PRIVATE,http://www.ymca.org.hk
549240000111,英基雅柏國際幼稚園,ESF ABACUS INTERNATIONAL KINDERGARTEN,幼稚園,KINDERGARTEN,SAI KUNG,PRIVATE,http://abacus.lg.esf.edu.hk
231371000111,SAI KUNG PRE-SCHOOL GROUP,SAI KUNG PRE-SCHOOL GROUP,幼稚園,KINDERGARTEN,SAI KUNG,PRIVATE,http://www.skip.edu.hk
579149000111,英基國際幼稚園（曉新）,ESF INTERNATIONAL KINDERGARTEN (HILLSIDE),幼稚園,KINDERGARTEN,WAN CHAI,PRIVATE,http://www.esf.edu.hk/our-schools/kindergarten/hillside
564770000112,LEAPFROG KINDERGARTEN,LEAPFROG KINDERGARTEN,幼稚園,KINDERGARTEN,SAI KUNG,PRIVATE,http://www.leapfrogkindergarten.org
231371000112,SAI KUNG PRE-SCHOOL GROUP,SAI KUNG PRE-SCHOOL GROUP,幼稚園,KINDERGARTEN,SAI KUNG,PRIVATE,http://www.skip.edu.hk
565628000111,世德幼稚園（梨木樹）,CASTAR KINDERGARTEN (LEI MUK SHUE),幼稚園,KINDERGARTEN,TSUEN WAN,PRIVATE,http://www.castar.edu.hk
