school_name_en,school_name_zh,edb_id,level,district,baseName
SAINT BRIGIT INTERNATIONAL KINDERGARTEN,聖姬莉國際幼稚園,edb_597538000211,幼稚園,九龍城區,SAINT BRIGIT INTERNATIONAL KINDERGARTEN
SAINT BRIGIT INTERNATIONAL KINDERGARTEN,聖姬莉國際幼稚園,edb_597538000212,幼稚園,九龍城區,SAINT BRIGIT INTERNATIONAL KINDERGARTEN
SEAR ROGERS INTERNATIONAL SCHOOL,弘爵國際學校,edb_534579000123,小學,荃灣區,SEAR ROGERS INTERNATIONAL SCHOOL
SEAR ROGERS INTERNATIONAL SCHOOL,弘爵國際學校,edb_534579000133,中學,荃灣區,SEAR ROGERS INTERNATIONAL SCHOOL
SINGAPORE INTERNATIONAL SCHOOL (HONG KONG),新加坡國際學校,edb_216003000223,小學,南區,SINGAPORE INTERNATIONAL SCHOOL
SINGAPORE INTERNATIONAL SCHOOL (HONG KONG),新加坡國際學校,edb_216003000433,中學,南區,SINGAPORE INTERNATIONAL SCHOOL
ST. CATHERINE'S INTERNATIONAL KINDERGARTEN,國際英文幼稚園,edb_215120000111,幼稚園,九龍城區,ST. CATHERINE'S INTERNATIONAL KINDERGARTEN
ST. CATHERINE'S INTERNATIONAL KINDERGARTEN,國際英文幼稚園,edb_215120000211,幼稚園,九龍城區,ST. CATHERINE'S INTERNATIONAL KINDERGARTEN
ST. CATHERINE'S INTERNATIONAL KINDERGARTEN,國際英文幼稚園,edb_215120000212,幼稚園,九龍城區,ST. CATHERINE'S INTERNATIONAL KINDERGARTEN
ST. CATHERINE'S INTERNATIONAL KINDERGARTEN,國際英文幼稚園,edb_215120000112,幼稚園,九龍城區,ST. CATHERINE'S INTERNATIONAL KINDERGARTEN
THE INTERNATIONAL MONTESSORI SCHOOL - AN IMEF SCHOOL,蒙特梭利國際學校,edb_548430000623,小學,南區,THE INTERNATIONAL MONTESSORI SCHOOL
THE INTERNATIONAL MONTESSORI SCHOOL - AN IMEF SCHOOL,蒙特梭利國際學校,edb_548430000633,中學,南區,THE INTERNATIONAL MONTESSORI SCHOOL
